;
; 鎌田さんところの全命令表から必要カラムだけ抜き出したもの。
; http://www.retropc.net/x68000/software/develop/as/has060/m68k.htm
;
; ビットパターンの凡例については元ページ参照。
;
; コード用ニーモニックは小文字の部分はそのまま使用される。
; 大文字はマクロ展開する。
;  SS .. サイズに応じて b/w/l に展開
;  EA .. アドレッシングモードに応じて reg/mem に展開
;
;ビットパターン |MPU   |ADDRESSING|コード		|表示名
;---------------+------+----------+-------------+------------------
0000000000111100|012346|          |ori_ccr		|ORI.B #<data>,CCR
0000000001111100|012346|          |ori_sr		|ORI.W #<data>,SR
00000000ssmmmrrr|012346|D M+-WXZ  |ori_SS_EA	|ORI.bwl #<data>,<ea>
0000001000111100|012346|          |andi_ccr		|ANDI.B #<data>,CCR
0000001001111100|012346|          |andi_sr		|ANDI.W #<data>,SR
00000010ssmmmrrr|012346|D M+-WXZ  |andi_SS_EA	|ANDI.bwl #<data>,<ea>
00000100ssmmmrrr|012346|D M+-WXZ  |subi_SS_EA	|SUBI.bwl #<data>,<ea>
0000011011mmmrrr|--2---|  M  WXZP |callm_EA		|CALLM #<data>,<ea>
00000110ssmmmrrr|012346|D M+-WXZ  |addi_SS_EA	|ADDI.bwl #<data>,<ea>
00000ss011mmmrrr|--234S|  M  WXZP |cmp2_SS_EA	|CMP2.bwl <ea>,Rn
00000ss011mmmrrr|--234S|  M  WXZP |chk2_SS_EA	|CHK2.bwl <ea>,Rn
0000100000000xxx|012346|          |btst_imm_reg	|BTST.L #<data>,Dx
0000100000mmmrrr|012346|  M+-WXZP |btst_imm_mem	|BTST.B #<data>,<ea>
0000100001000xxx|012346|          |bchg_imm_reg	|BCHG.L #<data>,Dx
0000100001mmmrrr|012346|  M+-WXZ  |bchg_imm_mem	|BCHG.B #<data>,<ea>
0000100010000xxx|012346|          |bclr_imm_reg	|BCLR.L #<data>,Dx
0000100010mmmrrr|012346|  M+-WXZ  |bclr_imm_mem	|BCLR.B #<data>,<ea>
0000100011000xxx|012346|          |bset_imm_reg	|BSET.L #<data>,Dx
0000100011mmmrrr|012346|  M+-WXZ  |bset_imm_mem	|BSET.B #<data>,<ea>
0000101000111100|012346|          |eori_ccr		|EORI.B #<data>,CCR
0000101001111100|012346|          |eori_sr		|EORI.W #<data>,SR
0000101011mmmrrr|--2346|  M+-WXZ  |cas_EA		|CAS.B Dc,Du,<ea>
00001010ssmmmrrr|012346|D M+-WXZ  |eori_SS_EA	|EORI.bwl #<data>,<ea>
00001100ssmmmrrr|--2346|        P |cmpi_SS_EA	|CMPI.bwl #<data>,<ea>
00001100ssmmmrrr|012346|D M+-WXZ  |cmpi_SS_EA	|CMPI.bwl #<data>,<ea>
00001110ssmmmrrr|-12346|  M+-WXZ  |moves_SS_EA_reg	|MOVES.bwl <ea>,Rn
00001110ssmmmrrr|-12346|  M+-WXZ  |moves_SS_reg_EA	|MOVES.bwl Rn,<ea>
000011s011111100|--234S|          |cas2		|CAS2.wl Dc1:Dc2,Du1:Du2,(Rn1):(Rn2)
000011s011mmmrrr|--2346|  M+-WXZ  |cas_EA		|CAS.wl Dc,Du,<ea>
0000nnn100000xxx|012346|          |btst_reg_reg	|BTST.L Dn,Dx
0000nnn100mmmrrr|012346|  M+-WXZPI|btst_reg_mem	|BTST.B Dn,<ea>
0000nnn101000xxx|012346|          |bchg_reg_reg	|BCHG.L Dn,Dx
0000nnn101mmmrrr|012346|  M+-WXZ  |bchg_reg_mem	|BCHG.B Dn,<ea>
0000nnn111000xxx|012346|          |bset_reg_reg	|BSET.L Dn,Dx
0000nnn111mmmrrr|012346|  M+-WXZ  |bset_reg_mem	|BSET.B Dn,<ea>
0000xxx10s001yyy|01234S|          |movep_to_reg	|MOVEP.wl (d,Ay),Dx
0000xxx11s001yyy|01234S|          |movep_to_mem	|MOVEP.wl Dx,(d,Ay)
0000nnn110000xxx|012346|          |bclr_reg_reg	|BCLR.L Dn,Dx
0000nnn110mmmrrr|012346|  M+-WXZ  |bclr_reg_mem	|BCLR.B Dn,<ea>
0001RRRMMMmmmrrr|012346|D M+-WXZPI|moveb_EA_XX	|MOVE.B <ea>,<x>
0010nnn001mmmrrr|012346|DAM+-WXZPI|moveal_EA	|MOVEA.L <ea>,An
0010RRRMMMmmmrrr|012346|DAM+-WXZPI|movel_EA_XX	|MOVE.L <ea>,<x>
0011nnn001mmmrrr|012346|DAM+-WXZPI|moveaw_EA	|MOVEA.W <ea>,An
0011RRRMMMmmmrrr|012346|DAM+-WXZPI|movew_EA_XX	|MOVE.W <ea>,<x>
0100000011mmmrrr|0-----|D M+-WXZ  |move_sr_EA	|MOVE.W SR,<ea>
0100000011mmmrrr|-12346|D M+-WXZ  |move_sr_EA	|MOVE.W SR,<ea>
01000000ssmmmrrr|012346|D M+-WXZ  |negx_SS_EA	|NEGX.bwl <ea>
0100001011mmmrrr|-12346|D M+-WXZ  |move_ccr_EA	|MOVE.W CCR,<ea>
01000010ssmmmrrr|012346|D M+-WXZ  |clr_SS_EA	|CLR.bwl <ea>
